offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Minnesota,Big Ten,Iowa,Big Ten,401405141,4014051411,1,false,1,22,78,14,55,1,41,59,11,7,3,48,6,19,PUNT,true,0,0,0,0
Iowa,Big Ten,Minnesota,Big Ten,401405141,4014051412,2,true,1,79,79,11,7,1,20,20,9,1,2,6,5,59,FG,false,0,0,3,0
Minnesota,Big Ten,Iowa,Big Ten,401405141,4014051413,3,false,1,29,71,8,53,1,38,62,7,1,1,52,3,9,PUNT,true,0,3,0,3
Iowa,Big Ten,Minnesota,Big Ten,401405141,4014051414,4,true,1,66,66,7,1,1,0,0,0,42,6,19,12,66,TD,false,3,0,10,0
Minnesota,Big Ten,Iowa,Big Ten,401405141,4014051415,5,true,1,28,72,0,37,2,100,0,10,24,5,13,9,72,TD,true,0,10,7,10
Iowa,Big Ten,Minnesota,Big Ten,401405141,4014051416,6,false,2,75,75,10,24,2,54,54,6,9,4,15,8,21,PUNT,false,10,7,10,7
Minnesota,Big Ten,Iowa,Big Ten,401405141,4014051417,7,false,2,11,89,6,9,2,84,16,0,38,5,31,11,73,MISSED FG,true,7,10,7,10
Iowa,Big Ten,Minnesota,Big Ten,401405141,4014051418,8,false,2,80,80,0,38,2,56,56,0,0,0,38,4,24,END OF HALF,false,10,7,10,7
Iowa,Big Ten,Minnesota,Big Ten,401405141,4014051419,9,false,3,75,75,15,0,3,49,49,11,44,3,16,6,26,PUNT,false,10,7,10,7
Minnesota,Big Ten,Iowa,Big Ten,401405141,40140514110,10,true,3,15,85,11,44,3,91,9,8,20,3,24,8,76,FG,true,7,10,10,10
Iowa,Big Ten,Minnesota,Big Ten,401405141,40140514111,11,false,3,75,75,8,20,3,36,36,4,25,3,55,7,39,PUNT,false,10,10,10,10
Minnesota,Big Ten,Iowa,Big Ten,401405141,40140514112,12,false,3,3,97,4,25,3,34,66,0,40,3,45,6,31,PUNT,true,10,10,10,10
